COAD-LAML 增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-off_aug-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-TC-batch8-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 23:32:22|0:03:09|22.9%|165/720
COAD_5-2-TC-batch8-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:35:25|0:03:03|23.1%|166/720
COAD_5-2-TC-batch8-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 23:39:12|0:03:46|23.2%|167/720
COAD_5-2-TC-batch9-offaug_none-CVAE1-50-miRNA-success|2026-03-30 23:39:32|0:00:20|23.3%|168/720
COAD_5-2-TC-batch9-offaug_none-CVAE1-100-miRNA-success|2026-03-30 23:39:50|0:00:17|23.5%|169/720
COAD_5-2-TC-batch9-offaug_none-CVAE1-200-miRNA-success|2026-03-30 23:40:06|0:00:16|23.6%|170/720
COAD_5-2-TC-batch9-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 23:43:20|0:03:14|23.8%|171/720
COAD_5-2-TC-batch9-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:46:42|0:03:22|23.9%|172/720
COAD_5-2-TC-batch9-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 23:50:17|0:03:35|24.0%|173/720
COAD_5-2-TC-batch10-offaug_none-CVAE1-50-miRNA-success|2026-03-30 23:50:41|0:00:23|24.2%|174/720
COAD_5-2-TC-batch10-offaug_none-CVAE1-100-miRNA-success|2026-03-30 23:50:59|0:00:18|24.3%|175/720
COAD_5-2-TC-batch10-offaug_none-CVAE1-200-miRNA-success|2026-03-30 23:51:19|0:00:19|24.4%|176/720
COAD_5-2-TC-batch10-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 23:54:28|0:03:09|24.6%|177/720
COAD_5-2-TC-batch10-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:57:35|0:03:06|24.7%|178/720
COAD_5-2-TC-batch10-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-31 00:00:50|0:03:15|24.9%|179/720
COAD_5-2-TC-batch11-offaug_none-CVAE1-50-miRNA-success|2026-03-31 00:01:12|0:00:21|25.0%|180/720
COAD_5-2-TC-batch11-offaug_none-CVAE1-100-miRNA-success|2026-03-31 00:01:29|0:00:17|25.1%|181/720
COAD_5-2-TC-batch11-offaug_none-CVAE1-200-miRNA-success|2026-03-31 00:01:49|0:00:19|25.3%|182/720
COAD_5-2-TC-batch11-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-31 00:04:34|0:02:45|25.4%|183/720
COAD_5-2-TC-batch11-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-31 00:07:51|0:03:16|25.6%|184/720
COAD_5-2-TC-batch11-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-31 00:11:36|0:03:45|25.7%|185/720
COAD_5-2-TC-batch12-offaug_none-CVAE1-50-miRNA-success|2026-03-31 00:12:02|0:00:25|25.8%|186/720
